pipeline,true_class,predicted_class,count
direct_dummy,Arthritis,Arthritis,0
direct_dummy,Common Cold,Arthritis,0
direct_dummy,Dengue,Arthritis,0
direct_dummy,Eczema,Arthritis,0
direct_dummy,Heart Attack,Arthritis,0
direct_dummy,Heat Stroke,Arthritis,0
direct_dummy,Influenza,Arthritis,0
direct_dummy,Malaria,Arthritis,0
direct_dummy,Migraine,Arthritis,0
direct_dummy,Sinusitis,Arthritis,0
direct_dummy,Stroke,Arthritis,0
direct_dummy,Arthritis,Common Cold,0
direct_dummy,Common Cold,Common Cold,0
direct_dummy,Dengue,Common Cold,0
direct_dummy,Eczema,Common Cold,0
direct_dummy,Heart Attack,Common Cold,0
direct_dummy,Heat Stroke,Common Cold,0
direct_dummy,Influenza,Common Cold,0
direct_dummy,Malaria,Common Cold,0
direct_dummy,Migraine,Common Cold,0
direct_dummy,Sinusitis,Common Cold,0
direct_dummy,Stroke,Common Cold,0
direct_dummy,Arthritis,Dengue,0
direct_dummy,Common Cold,Dengue,0
direct_dummy,Dengue,Dengue,0
direct_dummy,Eczema,Dengue,0
direct_dummy,Heart Attack,Dengue,0
direct_dummy,Heat Stroke,Dengue,0
direct_dummy,Influenza,Dengue,0
direct_dummy,Malaria,Dengue,0
direct_dummy,Migraine,Dengue,0
direct_dummy,Sinusitis,Dengue,0
direct_dummy,Stroke,Dengue,0
direct_dummy,Arthritis,Eczema,0
direct_dummy,Common Cold,Eczema,0
direct_dummy,Dengue,Eczema,0
direct_dummy,Eczema,Eczema,0
direct_dummy,Heart Attack,Eczema,0
direct_dummy,Heat Stroke,Eczema,0
direct_dummy,Influenza,Eczema,0
direct_dummy,Malaria,Eczema,0
direct_dummy,Migraine,Eczema,0
direct_dummy,Sinusitis,Eczema,0
direct_dummy,Stroke,Eczema,0
direct_dummy,Arthritis,Heart Attack,61
direct_dummy,Common Cold,Heart Attack,62
direct_dummy,Dengue,Heart Attack,62
direct_dummy,Eczema,Heart Attack,63
direct_dummy,Heart Attack,Heart Attack,193
direct_dummy,Heat Stroke,Heart Attack,65
direct_dummy,Influenza,Heart Attack,126
direct_dummy,Malaria,Heart Attack,64
direct_dummy,Migraine,Heart Attack,179
direct_dummy,Sinusitis,Heart Attack,60
direct_dummy,Stroke,Heart Attack,62
direct_dummy,Arthritis,Heat Stroke,0
direct_dummy,Common Cold,Heat Stroke,0
direct_dummy,Dengue,Heat Stroke,0
direct_dummy,Eczema,Heat Stroke,0
direct_dummy,Heart Attack,Heat Stroke,0
direct_dummy,Heat Stroke,Heat Stroke,0
direct_dummy,Influenza,Heat Stroke,0
direct_dummy,Malaria,Heat Stroke,0
direct_dummy,Migraine,Heat Stroke,0
direct_dummy,Sinusitis,Heat Stroke,0
direct_dummy,Stroke,Heat Stroke,0
direct_dummy,Arthritis,Influenza,0
direct_dummy,Common Cold,Influenza,0
direct_dummy,Dengue,Influenza,0
direct_dummy,Eczema,Influenza,0
direct_dummy,Heart Attack,Influenza,0
direct_dummy,Heat Stroke,Influenza,0
direct_dummy,Influenza,Influenza,0
direct_dummy,Malaria,Influenza,0
direct_dummy,Migraine,Influenza,0
direct_dummy,Sinusitis,Influenza,0
direct_dummy,Stroke,Influenza,0
direct_dummy,Arthritis,Malaria,0
direct_dummy,Common Cold,Malaria,0
direct_dummy,Dengue,Malaria,0
direct_dummy,Eczema,Malaria,0
direct_dummy,Heart Attack,Malaria,0
direct_dummy,Heat Stroke,Malaria,0
direct_dummy,Influenza,Malaria,0
direct_dummy,Malaria,Malaria,0
direct_dummy,Migraine,Malaria,0
direct_dummy,Sinusitis,Malaria,0
direct_dummy,Stroke,Malaria,0
direct_dummy,Arthritis,Migraine,0
direct_dummy,Common Cold,Migraine,0
direct_dummy,Dengue,Migraine,0
direct_dummy,Eczema,Migraine,0
direct_dummy,Heart Attack,Migraine,0
direct_dummy,Heat Stroke,Migraine,0
direct_dummy,Influenza,Migraine,0
direct_dummy,Malaria,Migraine,0
direct_dummy,Migraine,Migraine,0
direct_dummy,Sinusitis,Migraine,0
direct_dummy,Stroke,Migraine,0
direct_dummy,Arthritis,Sinusitis,0
direct_dummy,Common Cold,Sinusitis,0
direct_dummy,Dengue,Sinusitis,0
direct_dummy,Eczema,Sinusitis,0
direct_dummy,Heart Attack,Sinusitis,0
direct_dummy,Heat Stroke,Sinusitis,0
direct_dummy,Influenza,Sinusitis,0
direct_dummy,Malaria,Sinusitis,0
direct_dummy,Migraine,Sinusitis,0
direct_dummy,Sinusitis,Sinusitis,0
direct_dummy,Stroke,Sinusitis,0
direct_dummy,Arthritis,Stroke,0
direct_dummy,Common Cold,Stroke,0
direct_dummy,Dengue,Stroke,0
direct_dummy,Eczema,Stroke,0
direct_dummy,Heart Attack,Stroke,0
direct_dummy,Heat Stroke,Stroke,0
direct_dummy,Influenza,Stroke,0
direct_dummy,Malaria,Stroke,0
direct_dummy,Migraine,Stroke,0
direct_dummy,Sinusitis,Stroke,0
direct_dummy,Stroke,Stroke,0
direct_lr,Arthritis,Arthritis,2
direct_lr,Common Cold,Arthritis,2
direct_lr,Dengue,Arthritis,4
direct_lr,Eczema,Arthritis,4
direct_lr,Heart Attack,Arthritis,5
direct_lr,Heat Stroke,Arthritis,3
direct_lr,Influenza,Arthritis,2
direct_lr,Malaria,Arthritis,3
direct_lr,Migraine,Arthritis,3
direct_lr,Sinusitis,Arthritis,2
direct_lr,Stroke,Arthritis,1
direct_lr,Arthritis,Common Cold,8
direct_lr,Common Cold,Common Cold,11
direct_lr,Dengue,Common Cold,8
direct_lr,Eczema,Common Cold,14
direct_lr,Heart Attack,Common Cold,14
direct_lr,Heat Stroke,Common Cold,4
direct_lr,Influenza,Common Cold,10
direct_lr,Malaria,Common Cold,7
direct_lr,Migraine,Common Cold,16
direct_lr,Sinusitis,Common Cold,13
direct_lr,Stroke,Common Cold,4
direct_lr,Arthritis,Dengue,12
direct_lr,Common Cold,Dengue,14
direct_lr,Dengue,Dengue,9
direct_lr,Eczema,Dengue,15
direct_lr,Heart Attack,Dengue,10
direct_lr,Heat Stroke,Dengue,13
direct_lr,Influenza,Dengue,20
direct_lr,Malaria,Dengue,10
direct_lr,Migraine,Dengue,15
direct_lr,Sinusitis,Dengue,13
direct_lr,Stroke,Dengue,15
direct_lr,Arthritis,Eczema,1
direct_lr,Common Cold,Eczema,5
direct_lr,Dengue,Eczema,3
direct_lr,Eczema,Eczema,1
direct_lr,Heart Attack,Eczema,2
direct_lr,Heat Stroke,Eczema,5
direct_lr,Influenza,Eczema,1
direct_lr,Malaria,Eczema,3
direct_lr,Migraine,Eczema,2
direct_lr,Sinusitis,Eczema,2
direct_lr,Stroke,Eczema,5
direct_lr,Arthritis,Heart Attack,13
direct_lr,Common Cold,Heart Attack,9
direct_lr,Dengue,Heart Attack,11
direct_lr,Eczema,Heart Attack,10
direct_lr,Heart Attack,Heart Attack,79
direct_lr,Heat Stroke,Heart Attack,18
direct_lr,Influenza,Heart Attack,26
direct_lr,Malaria,Heart Attack,9
direct_lr,Migraine,Heart Attack,75
direct_lr,Sinusitis,Heart Attack,6
direct_lr,Stroke,Heart Attack,17
direct_lr,Arthritis,Heat Stroke,7
direct_lr,Common Cold,Heat Stroke,4
direct_lr,Dengue,Heat Stroke,3
direct_lr,Eczema,Heat Stroke,6
direct_lr,Heart Attack,Heat Stroke,26
direct_lr,Heat Stroke,Heat Stroke,5
direct_lr,Influenza,Heat Stroke,18
direct_lr,Malaria,Heat Stroke,6
direct_lr,Migraine,Heat Stroke,17
direct_lr,Sinusitis,Heat Stroke,3
direct_lr,Stroke,Heat Stroke,1
direct_lr,Arthritis,Influenza,11
direct_lr,Common Cold,Influenza,7
direct_lr,Dengue,Influenza,11
direct_lr,Eczema,Influenza,6
direct_lr,Heart Attack,Influenza,41
direct_lr,Heat Stroke,Influenza,12
direct_lr,Influenza,Influenza,41
direct_lr,Malaria,Influenza,16
direct_lr,Migraine,Influenza,33
direct_lr,Sinusitis,Influenza,7
direct_lr,Stroke,Influenza,10
direct_lr,Arthritis,Malaria,5
direct_lr,Common Cold,Malaria,7
direct_lr,Dengue,Malaria,6
direct_lr,Eczema,Malaria,3
direct_lr,Heart Attack,Malaria,8
direct_lr,Heat Stroke,Malaria,3
direct_lr,Influenza,Malaria,4
direct_lr,Malaria,Malaria,6
direct_lr,Migraine,Malaria,4
direct_lr,Sinusitis,Malaria,7
direct_lr,Stroke,Malaria,5
direct_lr,Arthritis,Migraine,1
direct_lr,Common Cold,Migraine,0
direct_lr,Dengue,Migraine,3
direct_lr,Eczema,Migraine,0
direct_lr,Heart Attack,Migraine,7
direct_lr,Heat Stroke,Migraine,1
direct_lr,Influenza,Migraine,1
direct_lr,Malaria,Migraine,1
direct_lr,Migraine,Migraine,3
direct_lr,Sinusitis,Migraine,0
direct_lr,Stroke,Migraine,1
direct_lr,Arthritis,Sinusitis,1
direct_lr,Common Cold,Sinusitis,1
direct_lr,Dengue,Sinusitis,1
direct_lr,Eczema,Sinusitis,1
direct_lr,Heart Attack,Sinusitis,0
direct_lr,Heat Stroke,Sinusitis,0
direct_lr,Influenza,Sinusitis,1
direct_lr,Malaria,Sinusitis,1
direct_lr,Migraine,Sinusitis,6
direct_lr,Sinusitis,Sinusitis,0
direct_lr,Stroke,Sinusitis,1
direct_lr,Arthritis,Stroke,0
direct_lr,Common Cold,Stroke,2
direct_lr,Dengue,Stroke,3
direct_lr,Eczema,Stroke,3
direct_lr,Heart Attack,Stroke,1
direct_lr,Heat Stroke,Stroke,1
direct_lr,Influenza,Stroke,2
direct_lr,Malaria,Stroke,2
direct_lr,Migraine,Stroke,5
direct_lr,Sinusitis,Stroke,7
direct_lr,Stroke,Stroke,2
