pipeline,class,support,precision,recall,f1
direct_dummy,Arthritis,61,0.0,0.0,0.0
direct_dummy,Common Cold,62,0.0,0.0,0.0
direct_dummy,Dengue,62,0.0,0.0,0.0
direct_dummy,Eczema,63,0.0,0.0,0.0
direct_dummy,Heart Attack,193,0.19358074222668004,1.0,0.3243697478991597
direct_dummy,Heat Stroke,65,0.0,0.0,0.0
direct_dummy,Influenza,126,0.0,0.0,0.0
direct_dummy,Malaria,64,0.0,0.0,0.0
direct_dummy,Migraine,179,0.0,0.0,0.0
direct_dummy,Sinusitis,60,0.0,0.0,0.0
direct_dummy,Stroke,62,0.0,0.0,0.0
direct_lr,Arthritis,61,0.06451612903225806,0.03278688524590164,0.043478260869565216
direct_lr,Common Cold,62,0.10091743119266056,0.1774193548387097,0.1286549707602339
direct_lr,Dengue,62,0.06164383561643835,0.14516129032258066,0.08653846153846154
direct_lr,Eczema,63,0.03333333333333333,0.015873015873015872,0.021505376344086023
direct_lr,Heart Attack,193,0.2893772893772894,0.40932642487046633,0.33905579399141633
direct_lr,Heat Stroke,65,0.052083333333333336,0.07692307692307693,0.062111801242236024
direct_lr,Influenza,126,0.21025641025641026,0.3253968253968254,0.2554517133956386
direct_lr,Malaria,64,0.10344827586206896,0.09375,0.09836065573770492
direct_lr,Migraine,179,0.16666666666666666,0.01675977653631285,0.030456852791878174
direct_lr,Sinusitis,60,0.0,0.0,0.0
direct_lr,Stroke,62,0.07142857142857142,0.03225806451612903,0.044444444444444446
direct_rf,Arthritis,61,0.07272727272727272,0.06557377049180328,0.06896551724137931
direct_rf,Common Cold,62,0.045454545454545456,0.04838709677419355,0.046875
direct_rf,Dengue,62,0.06493506493506493,0.08064516129032258,0.07194244604316546
direct_rf,Eczema,63,0.08045977011494253,0.1111111111111111,0.09333333333333334
direct_rf,Heart Attack,193,0.3382352941176471,0.35751295336787564,0.34760705289672544
direct_rf,Heat Stroke,65,0.05714285714285714,0.06153846153846154,0.05925925925925926
direct_rf,Influenza,126,0.2112676056338028,0.11904761904761904,0.15228426395939088
