model,feature_set,scope,fold_logloss_mean,fold_logloss_std,f1_micro,f1_macro,average_precision_micro,average_precision_macro,hamming_loss
lr,weather_full,development_oof,0.6638301054636637,0.008741427094613053,0.17544822539334065,0.16008322544395673,0.11455307398821675,0.10169324496099269,0.37709170013386883
lr,weather_full,locked_test,0.6638301054636637,0.008741427094613053,0.16441509662567397,0.14954087602302502,0.10408670013674787,0.10110284802286973,0.3842917641814332
mlp,weather_full,development_oof,0.269685303626789,0.002505972506349555,0.17048070412999322,0.13440297267900486,0.09252552246444523,0.07515613712163594,0.5125502008032129
mlp,weather_full,locked_test,0.269685303626789,0.002505972506349555,0.1575072311333158,0.12249549163794941,0.0914385256827438,0.08014083438728843,0.5356068204613842
xgb,weather_full,development_oof,0.23575931299063893,0.002867477175695208,0.21191750299937157,0.15419108494054598,0.1990126441298229,0.10773006025482902,0.28853608879964304
xgb,weather_full,locked_test,0.23575931299063893,0.002867477175695208,0.1888513016620091,0.1322882924737262,0.15866084958637877,0.09766503986834017,0.30731082135294774
xgb_raw_weather,weather_raw,development_oof,0.23516157480577632,0.002985101174652866,0.21406715908869442,0.15584796125595693,0.19504915495388833,0.10632315363590933,0.2811733043284248
xgb_raw_weather,weather_raw,locked_test,0.23516157480577632,0.002985101174652866,0.19392382103990327,0.13290539791680292,0.16158723734926012,0.09863023656810073,0.2971692856346818
xgb_pre_event_context,pre_event_context,development_oof,0.19823193206555315,0.0015082236071445143,0.25199776250599326,0.2426196190934384,0.3852884607275389,0.18348656870218144,0.26105812137438644
xgb_pre_event_context,pre_event_context,locked_test,0.19823193206555315,0.0015082236071445143,0.24289245982694685,0.24358918308241254,0.3753645826861963,0.1844761888826266,0.27304134626100524
