model,scope,symptom,prevalence,threshold,precision,recall,f1,average_precision
lr,development_oof,nausea,0.15210843373493976,0.5400000000000001,0.217629179331307,0.5907590759075908,0.31808085295424254,0.21407645207989612
lr,development_oof,joint_pain,0.0665160642570281,0.5600000000000002,0.1037037037037037,0.47547169811320755,0.17027027027027028,0.0930604618929589
lr,development_oof,abdominal_pain,0.039909638554216864,0.5900000000000002,0.06779661016949153,0.1761006289308176,0.0979020979020979,0.053345328556569864
lr,development_oof,high_fever,0.10366465863453815,0.5800000000000002,0.15406162464985995,0.39951573849878935,0.2223719676549865,0.14376888677272998
lr,development_oof,chills,0.0625,0.5400000000000001,0.09578030810448761,0.5742971887550201,0.16417910447761194,0.0884401762146487
lr,development_oof,fatigue,0.12474899598393574,0.5400000000000001,0.1881619937694704,0.607645875251509,0.2873453853472883,0.18955526111824966
lr,development_oof,runny_nose,0.0981425702811245,0.5800000000000002,0.1546644844517185,0.4833759590792839,0.23434593924364538,0.14326160170042687
lr,development_oof,dizziness,0.1307730923694779,0.5300000000000001,0.18376068376068377,0.5777351247600768,0.2788327929597036,0.18129551687100964
lr,development_oof,headache,0.24397590361445784,0.44000000000000006,0.2534722222222222,0.9012345679012346,0.3956639566395664,0.3108618849297621
lr,development_oof,chest_pain,0.16842369477911648,0.6400000000000001,0.37393422655298414,0.45752608047690013,0.41152815013404825,0.33439945461063253
lr,development_oof,vomiting,0.2090863453815261,0.45000000000000007,0.23196810438564697,0.7683073229291717,0.35634743875278396,0.28396573530477387
lr,development_oof,cough,0.060240963855421686,0.5800000000000002,0.10792951541850221,0.4083333333333333,0.17073170731707318,0.08852560852939961
lr,development_oof,asthma,0.06701807228915663,0.7400000000000002,0.2315035799522673,0.36329588014981273,0.282798833819242,0.21636849473056763
lr,development_oof,severe_headache,0.09362449799196787,0.5300000000000001,0.1263768115942029,0.5844504021447721,0.20781696854146806,0.12110202486315103
lr,development_oof,weakness,0.03589357429718876,0.5900000000000002,0.061855670103092786,0.2097902097902098,0.09554140127388536,0.04498312965584213
lr,development_oof,trouble_seeing,0.04066265060240964,0.5900000000000002,0.06802721088435375,0.18518518518518517,0.09950248756218906,0.05068857786663061
lr,development_oof,fever,0.03137550200803213,0.5500000000000002,0.04434250764525994,0.464,0.08094905792044661,0.04143962928664245
