scenario,master_seed,outer_fold,development_rows,test_rows,development_groups,test_groups,endpoint,accuracy,f1_macro,concept_f1_macro
fully_mediated,2026,0,2304,576,384,96,class_prior,0.28125,0.10975609756097561,
fully_mediated,2026,0,2304,576,384,96,direct_logistic,0.3836805555555556,0.33900197681252336,
fully_mediated,2026,0,2304,576,384,96,cascade_logistic,0.3732638888888889,0.32276372631878814,0.652182743293305
fully_mediated,2026,1,2304,576,384,96,class_prior,0.28125,0.10975609756097561,
fully_mediated,2026,1,2304,576,384,96,direct_logistic,0.3350694444444444,0.30355621195962507,
fully_mediated,2026,1,2304,576,384,96,cascade_logistic,0.3177083333333333,0.27823096050911117,0.6509068386335303
fully_mediated,2026,2,2304,576,384,96,class_prior,0.2795138888888889,0.10922659430122117,
fully_mediated,2026,2,2304,576,384,96,direct_logistic,0.3576388888888889,0.3066040108570521,
fully_mediated,2026,2,2304,576,384,96,cascade_logistic,0.375,0.3163615223626075,0.6619292246925214
fully_mediated,2026,3,2304,576,384,96,class_prior,0.2847222222222222,0.11081081081081082,
fully_mediated,2026,3,2304,576,384,96,direct_logistic,0.3836805555555556,0.35224177315310573,
fully_mediated,2026,3,2304,576,384,96,cascade_logistic,0.4114583333333333,0.37250473405524503,0.6900968947274876
fully_mediated,2026,4,2304,576,384,96,class_prior,0.28125,0.10975609756097561,
fully_mediated,2026,4,2304,576,384,96,direct_logistic,0.3541666666666667,0.3045848486585889,
fully_mediated,2026,4,2304,576,384,96,cascade_logistic,0.3576388888888889,0.30683368527257143,0.6597587510132069
fully_mediated,2027,0,2304,576,384,96,class_prior,0.2847222222222222,0.11081081081081082,
fully_mediated,2027,0,2304,576,384,96,direct_logistic,0.3229166666666667,0.2818662963571435,
fully_mediated,2027,0,2304,576,384,96,cascade_logistic,0.3506944444444444,0.29709027258437937,0.6734282512820237
fully_mediated,2027,1,2304,576,384,96,class_prior,0.2829861111111111,0.11028416779431664,
fully_mediated,2027,1,2304,576,384,96,direct_logistic,0.3454861111111111,0.3197631054904209,
fully_mediated,2027,1,2304,576,384,96,cascade_logistic,0.3628472222222222,0.3293850870733253,0.6678635520650641
fully_mediated,2027,2,2304,576,384,96,class_prior,0.2829861111111111,0.11028416779431664,
fully_mediated,2027,2,2304,576,384,96,direct_logistic,0.3576388888888889,0.32273471803665704,
fully_mediated,2027,2,2304,576,384,96,cascade_logistic,0.3541666666666667,0.3055311671651531,0.6782543216080356
fully_mediated,2027,3,2304,576,384,96,class_prior,0.2829861111111111,0.11028416779431664,
fully_mediated,2027,3,2304,576,384,96,direct_logistic,0.3628472222222222,0.3231281247492592,
fully_mediated,2027,3,2304,576,384,96,cascade_logistic,0.359375,0.3065162650426024,0.6549162355766476
fully_mediated,2027,4,2304,576,384,96,class_prior,0.2847222222222222,0.11081081081081082,
fully_mediated,2027,4,2304,576,384,96,direct_logistic,0.3732638888888889,0.32027289394460073,
fully_mediated,2027,4,2304,576,384,96,cascade_logistic,0.3663194444444444,0.30957879446775455,0.6897125118464911
fully_mediated,2028,0,2304,576,384,96,class_prior,0.3090277777777778,0.11803713527851459,
fully_mediated,2028,0,2304,576,384,96,direct_logistic,0.4184027777777778,0.38073527960335146,
fully_mediated,2028,0,2304,576,384,96,cascade_logistic,0.4131944444444444,0.36563852370988664,0.654799159102207
fully_mediated,2028,1,2304,576,384,96,class_prior,0.3055555555555556,0.11702127659574468,
fully_mediated,2028,1,2304,576,384,96,direct_logistic,0.3454861111111111,0.31887578663967203,
fully_mediated,2028,1,2304,576,384,96,cascade_logistic,0.3420138888888889,0.30679991219150377,0.6511128891531817
fully_mediated,2028,2,2304,576,384,96,class_prior,0.3090277777777778,0.11803713527851459,
fully_mediated,2028,2,2304,576,384,96,direct_logistic,0.3663194444444444,0.3244030555360512,
fully_mediated,2028,2,2304,576,384,96,cascade_logistic,0.3784722222222222,0.3228862062331666,0.6455351110900732
fully_mediated,2028,3,2304,576,384,96,class_prior,0.3090277777777778,0.11803713527851459,
fully_mediated,2028,3,2304,576,384,96,direct_logistic,0.3385416666666667,0.3046729576581443,
fully_mediated,2028,3,2304,576,384,96,cascade_logistic,0.3663194444444444,0.3287707107511091,0.6253955120101241
fully_mediated,2028,4,2304,576,384,96,class_prior,0.3038194444444444,0.11651131824234354,
fully_mediated,2028,4,2304,576,384,96,direct_logistic,0.3576388888888889,0.3087329000463313,
fully_mediated,2028,4,2304,576,384,96,cascade_logistic,0.3628472222222222,0.31390607129198816,0.6726836499310939
concept_noise,2026,0,2304,576,384,96,class_prior,0.28125,0.10975609756097561,
concept_noise,2026,0,2304,576,384,96,direct_logistic,0.3229166666666667,0.2652719956182753,
concept_noise,2026,0,2304,576,384,96,cascade_logistic,0.3315972222222222,0.26498101901819937,0.5798727577607775
concept_noise,2026,1,2304,576,384,96,class_prior,0.28125,0.10975609756097561,
concept_noise,2026,1,2304,576,384,96,direct_logistic,0.3194444444444444,0.2750373268474812,
