name,concept_measurement_noise,direct_residual_strength,master_seed,outer_fold
fully_mediated,0.35,0.0,2026,0
fully_mediated,0.35,0.0,2026,1
fully_mediated,0.35,0.0,2026,2
fully_mediated,0.35,0.0,2026,3
fully_mediated,0.35,0.0,2026,4
fully_mediated,0.35,0.0,2027,0
fully_mediated,0.35,0.0,2027,1
fully_mediated,0.35,0.0,2027,2
fully_mediated,0.35,0.0,2027,3
fully_mediated,0.35,0.0,2027,4
fully_mediated,0.35,0.0,2028,0
fully_mediated,0.35,0.0,2028,1
fully_mediated,0.35,0.0,2028,2
fully_mediated,0.35,0.0,2028,3
fully_mediated,0.35,0.0,2028,4
concept_noise,1.5,0.0,2026,0
concept_noise,1.5,0.0,2026,1
concept_noise,1.5,0.0,2026,2
concept_noise,1.5,0.0,2026,3
concept_noise,1.5,0.0,2026,4
concept_noise,1.5,0.0,2027,0
concept_noise,1.5,0.0,2027,1
concept_noise,1.5,0.0,2027,2
concept_noise,1.5,0.0,2027,3
concept_noise,1.5,0.0,2027,4
concept_noise,1.5,0.0,2028,0
concept_noise,1.5,0.0,2028,1
concept_noise,1.5,0.0,2028,2
concept_noise,1.5,0.0,2028,3
concept_noise,1.5,0.0,2028,4
residual_signal,0.35,1.0,2026,0
residual_signal,0.35,1.0,2026,1
residual_signal,0.35,1.0,2026,2
residual_signal,0.35,1.0,2026,3
residual_signal,0.35,1.0,2026,4
residual_signal,0.35,1.0,2027,0
residual_signal,0.35,1.0,2027,1
residual_signal,0.35,1.0,2027,2
residual_signal,0.35,1.0,2027,3
residual_signal,0.35,1.0,2027,4
residual_signal,0.35,1.0,2028,0
residual_signal,0.35,1.0,2028,1
residual_signal,0.35,1.0,2028,2
residual_signal,0.35,1.0,2028,3
residual_signal,0.35,1.0,2028,4
